title,rating,travelDate,publishedDate,text
Wonderfull stay,5,2024-02,19-02-2024,"I have stayed here with lemontree premier for 5 days,  I enjoyed my stay . Staff is polite and helpful. They are good in hospitality. House keeping services are good. Cleaning is upto the mark and rooms are well maintained. Specially mentioned Mr.Gopi and venu from house keeping for taking care of my stay. Room was always cleaned. They are very good in theirs work and helping to theirs guests. Thank you all."
Great place to stay!,5,2024-02,19-02-2024,"The tea cafe is great! Must try. The location of the hotel is very central so easy accessibility to other places in Hyderabad:) 

Hemant and Aslam were very helpful and friendly on my trip! Thank you! I m very happy to stay here :) highly recommended"
Worth every penny!!,5,2024-02,19-02-2024,"We had visited this place for our weddinng anniversary and enjoyed the ambience and services..

Dont miss the Fried ice cream with chocolate sauce.. 😋 

Thanks to Chandrasekhar, Habib, Ranjan for the services and hospitality.. will look to visit again"
Excellent,5,2024-02,18-02-2024,"Excellent food and service especially from Sai Kiran and sajjad, Sarita, hemant, dashrath, rupesh, Santosh and Lulu. Excellent prep from chef sashwath and Mahesh, Suresh and kundan. And good ambience too, rooms are clean and spacious.."
"Citus cafe is so amazing, All staff is so good, hard working",5,2024-02,18-02-2024,"Simran work is so Excellent, she is so polite, hard working girl. Food is so delicious, I m so comfortable, all staff is so cooperative, room is so big, I m very comfortable. Lemon tree hotel experience is rocking.  I m so so so 😊😊😊😊, I am visiting again and again"
Super staff and tasty food,5,2024-02,18-02-2024,We went to kebabs for dinner and loved the ambience. Everything is such a wonderful concept. The staff were excellent and gave us exactly wht we wanted whch was kids friendly also. Staff Habib chandrasekhar and arvind are doing amazing job and keep up the wonderful work. 10/10
Great food and great service,5,2024-02,18-02-2024,Food was amazing. Fish cooked in banana leaves was steamed to perfection and the Sri Lankan chicken curry was awesome. Service from Aravind and Chandrasekhar and Chef Kagendra was first class. Enjoyed my evening alone ! Would recommend you trying this place if you are ever nearby.
Fantastic service and food,5,2024-02,18-02-2024,Very happy with the service and courteousness of the servers. Food was delicious too. We have been coming here for the last many years and we have never been disappointed. Thank you for maintaining the consistency and quality. Special thanks to Chandrasekhar and Arvind for the fabulous hospitality.
Lemon tree Hitech City stay,5,2024-02,18-02-2024,"Been pleasant stay and staff were very polite, citrus cafe spread was good, the staff members like Ratnesh,Mohit, Girish, citrus cafe staff were very cordial in taking orders and delivering the services. All over the stay was vey good, I recommend the stay here."
Good Service and Very helpful,5,2024-02,17-02-2024,"We have celebrated my daughter half Sare function. We had a great experience. All the staff are very helpful and made a great experience.  Cheff has prepared the food in customized way which suits our teast. Staff alok, sagar, indrajit, feroz, angi and naga, chef sasswath, have helpyed in arranging and organizing the event."
Good time at kebab theatre,5,2024-02,17-02-2024,"We went to kebab theatre. This is a really good . 
The hospitality was very good,chandrashekhar and waqar served us very well. 
Food was also good and very delicious.. 
ambiance is also very good and reminds of old Bollywood theme.

Relaxing ambiance and good place to spend a nice evening"
"Excellent Stay Experience With Lemon Tree, HiTech City,  Hyderabad",5,2024-02,17-02-2024,"The Experience remains unchanged. I had the opportunity to stay in Lemon Tree in previous years either and thar experience was unparalleled. This years experience too was no different. Loved the courteous service offered by Mr Ratnesh, Mr Girish and Mr Kumar to mention a few of the lot who made the stay and experience worth remembering.

Looking forward to many more such experiences

Regards,

Rahul A Dighe."
RON,5,2024-02,17-02-2024,"this is my go to place for thai food.
Aravind and Chandra were very courteous and friendly to serve us food. Must try at this place is combination of Tom Yum veg soup, Mhad noodles and Srilankan vegetable. On top of this you can also try Mocktails and icecream here with delectable taste."
Great family lunch experience!,5,2024-02,17-02-2024,Very good good and service! Would love more Sri Lankan curry options with different meats. Thank you for a great meal and keep up the good work! Green curry prawns were extremely tasty. Excellent service by Chandrashekhar and Aravind! Worth it as an experience :)
Fantastic stay at lemon tree hi tech city💯,5,2024-02,17-02-2024,"Food is very good in citrus cafe. Staff are very good and friendly. 

Special thanks to Sajjad, shai Kiran, Sarita and people in the management like Alok ji is very good. 

Thanks a lot team for the wonderful experience in last 1 week.

Thank you everybody."
Republic of Noodles,5,2024-02,16-02-2024,"Great food, amazing ambience and the service was extra ordinary! Arvind was really helpful with the service and Chandrasekar, Khaja were good with the assistance. Manager sagar greeted us well and took care of everything. Overall a great expirience.  🙌"
A home away from home,4,2024-02,16-02-2024,"They have cozy room and amazing  house keeping  staff . Very cordial ,they kept my room very tidy and neat.

Yea have spent my most of the time in citrus chit chatting with my colleagues and friends . The warmth of the restaurant staff is commendable they made sure to attend each and every guest personally I would like to especially mention few names Sajjad , Sai Kiran , Simran , Syeed Feroz , Sarita and Santosh. They have almost became our friends ."
Republic of Noodles,5,2024-02,16-02-2024,"Amazing food and great Service (by Arvind and Chandrashekhar and Khaza) at a very reasonable price.
Value of money.

I had the Larb Gai Spicy Minced Chicken 
and Dumplings.

I have stayed at Lemontree a couple of times now and the stay has been very comfortable… the focus on service is what makes me comeback here."
Hospitality,4,2024-02,16-02-2024,Hotel is good and always good to stay here. Breakfast and hospitality are to be mentioned. Room service and care is adding value for the stay. Housekeeping staff Ratnesh and Mohit are doing their best.  Rooms are spacious and well maintained.
Great experienced,5,2024-02,16-02-2024,"Excellent Hotel and Services

Syed firoz 
Very good hospitality . helped us get reservations that were hard to get for my wife’s birthday. They were always very attentive to our needs. Special shout out to or being so helpful and kind throughout our stay. Would recommend this place to everyone ."
Stay at Lemon Tree,5,2024-02,16-02-2024,"Stay in lemon tree is really good and very comfortable. Staff are really nice. I have been staying for more a month and it’s really good. 
I have to mention about staff Ratnesh and Venkata Ram are very good and assisted with what ever I had asked and made stay comfortable and thanks to them for their service and hospitality."
Excellent stay at Lemon Tree,5,2024-02,16-02-2024,"I stayed here for Two weeks and I really enjoyed the stay and food experience. I enjoyed great food and the staff were so friendly and so caring. Special thanks to Sai Kiran, Rupesh, Saritha, Hemanth, Dasharath and Dilip . And more importantly chef Shaswatha , Mahesh and Suresh for taking care. Thanks for all your support."
Thanks for all good food team loved my stay here and would love to come back again soon . Appreciate each effort!,5,2024-02,16-02-2024,"Sai  Kiran , Sarita , Rupesh , Dilip , Simran , Dashrat , Sajad , Hemant ,Alok , Santosh & Lulu -  All these people are super supportive and always ready to serve and help you get food early it is worth mentioning each one’s  name for treating us so good . 

Chef Shashwata and Mahesh , Suresh - Thanks for all the good food our stay was beautiful because of yummy food prepared for all us all 14 days."
Excellent,5,2024-02,16-02-2024,"Excellent Banquet hall and very good Staff. Food is delicious. Very impressive with Mr.Indrajit Banquet executive. Mr.Sagar very cooperative and supporting, Mr.Alok Manager Banquet is very cooperative. Mr.Anjiand Mr.Nagais very supportive"
Review Citrus Cafe,5,2024-01,16-02-2024,"It was our first time visiting this place, and the team of Sai Kiran Hemanth and Saritha were very polite and professional in terms of hospitality. They were quick to respond for our needs. The ambience is on point and would recommend anyone going to Lemon tree to try the citrus cafe."
Very good service,5,2024-02,15-02-2024,"My stay was really pleasant, all services were on time. Rooms are maintained very clean and neat. House keeping was very excellent. House keeping staffs Ratnesh and room attendant Mohit were really excellent in their service, they are very much people oriented."
Reputation of Noodles,5,2024-02,15-02-2024,The service is top class and the food is amazing. The staff are so.helpful especially Aravind and Chandrashekhar with any variations needed in the menu and overall a good evening. I am a vegetarian and the changes to some of the food items recommended were very good and I enjoyed the drink as well
Beautiful Stay with Lemon Tree 🌳,5,2024-02,15-02-2024,IT IS GREAT STAY IN LEMON TREE AND HOUSEKEEPING MANAGER GOPI IS AWESOME . The way he is treating is sweet and beautiful. Room cleaning and maintenance he did with his team is great. Great hospitality with extremely friendly staff. Room decorations were super cute 🥰 and well appreciated. Overall experience with Gopi and Asid was fun and cool ❤️
Remarkable housekeeping by Tripti,5,2024-02,14-02-2024,"It was an amazing stay at Lemon Tree Premier. The Hospitality and Food was awesome but the housekeeping standards are something which I never experienced before. I must mention about Mrs.Tripti who kept my room in the way I first signed-in to the hotel. He is seriously an asset for this hotel. 

This could not have been so nice, if Gopi, Housekeeping Manager didn’t have backed Tripti. 

Overall a good work by Housekeeping team. Loved the way how Tripti presents my room every day! 

Kudos!!"
Pleasant Stay,5,2024-02,14-02-2024,"I especially like the staff . They are so polite in terms of addressing your questions. I found staff here so professional , diligent and educated. I loved my stay which made me pleasant staying here.
Also like to mention Tripti and Gopi from housekeeping staff to make stay pleasant."
Een aanrader als je iets anders wilt dan de locale hap.,5,2024-02,14-02-2024,Heel goed eten en een zeer attente bediening. Ik ben twee avonden geweest en heb beide keren heerlijk gegeten. Aravind en Chandra Sekhar waren de bediening op beide avonden. Het restaurant ligt op de M verdieping van het Lemon Tree hotel en is vanaf 7 uur open.
Pleasant stay,5,2024-02,13-02-2024,"We stayed at lemontree with family. Wonderful services by team members. Nice hotel for families. Housekeeping team is very attentive.they have taken care about my complete stay. I have stayed with my 1 year kid , they have alot of patience to clean the room though room was messed by my kid, special thanks to ms.tripti , Mr.Gopi who always used to make my kid laugh and smile alot. Thanks to both of u"
RON feedback,4,2024-02,13-02-2024,"Good starters and soup collection. Banaleaf items were very delicious. Coriander soup was awesome. Liked the fried rice but have limited veg options in rice. Service by Arvind and chandra shekar was very good....,...................."
Excellent stay,5,2024-02,13-02-2024,"Hotel is very good , services are excellent. Room cleaning is upto the mark. Rooms are well maintained. Laundry services are good .  Room amenities are good. Specially mentioned Mr.Ramtul, Mr.gopi and chotu , they are perfect in hospitality. They have such a helping nature in whatever i requested for. They are always happy to help to guest and come with genuine smile. Keep it up guys. Thank you all house keeping team."
Great stay,5,2024-02,13-02-2024,"The stay for 14 days was delightful and we were constantly assisted by the staff
Hemanth , Saritha, Sai , Dileep and Mahesh. I will be happy to visit again. The food in thier restaurant and the hospitality was top notch. Thank you for everything"
Soothing,5,2024-02,13-02-2024,"Very good service, the staffs are active. 
The  food quality too is amazing . All the staffs at citrus cafe are very puntual and are the best in the hotel their service and food is too good .
Overall a nice place to stay if you are coming to stay for more than a week ."
Excellent,5,2024-02,13-02-2024,"Clean rooms, excellent services. Wonderful hosts. Honorable initiative to employ Specially abled staff. Mr. Gopi and Miss.Tripti deserve a special mention. They made sure my stay was comfortable and we're happy to help. Cheers to team Lemon Tree"
Good hospitality,5,2024-02,12-02-2024,Hotel  is good.. services are wonderful. Team is well trained in hospitality. Rooms are very spacious and maintained cleaned always. House keeping is very attentive and helpful. Thanks to Gopi from housekeeping who was really helpful and response he gave for my requests. I had an issue with something and approached Gopi and it was solved in minutes. Keep it up gopi
Thanks to Management for wonderful team,5,2024-02,12-02-2024,"We had a good time to by going lemon tree premier hitch city thanks to Feroz sayyed and others and thanks to Sagar,Indra and other team members and Naga,Anji and kitchen staff Hashmi and Chef Mahesh was very helpful and all management team very friendly"
Match point tea coffe and dinner time,5,2024-02,12-02-2024,"We had did a event at tangerine 1 ,company matchpoint 
I like tea coffee service veg kathi roll tea coffee service was top notch wondering Service bu banquet team thanks to Firoz said,Sagar,Indra,Anji,Naga and other kitchen memebers and ambience"
MatchPoint 25  members,5,2024-02,12-02-2024,"We had a match point event at banquets in Tanginerine hall and had a wonderful 😊💯 Timme here and food was Great than expected the event Team Management Trainee Feiroz Sayyed,Sagar were very Helpful thanks to Management for hiring such a good members"
Nice place,5,2024-02,11-02-2024,"Cool place, nice music 😁 Had a good time with family. Would recommend for groupes, couples and going alone as well. Very nice environment and vibes. The walls have funny limericks framed. All and all very fun place, service was amazing and will definitely return!"
Great Dining Experience,5,2024-02,11-02-2024,"I have spent 10 days here and deemed fit to write this review regarding the dining services, absolutely Great experience and I can add few names here like Sajjad and Waqqar who has added extra miles in serving me. Very Polite and professional behaviour."
Event for 60 people,5,2024-02,11-02-2024,"Had a event for about 60 people. Great service and management by indrajit, Sagar, and Feroz sayed, Naga, anji 

Good and clean facilities, well managed, AC was always on and under control. 

Food was well made, hygiene, and the buffet was always well stocked."
Family visit,5,2024-02,10-02-2024,"The room is good and having beautiful view from window.
Iam here almost more than a month and felt like home.
Breakfast is really good and having lots of options to choose from.
I have never could complete all varieties of breakfast
Even Lunch and dinner buffet is excellent
I had excellent service from Mr Sajjad as well in the Citrus dining hall."
"Good service, bit old rooms",3,2024-01,10-02-2024,"It's an old property which has been refurbished. The look and feel inside is old and the corridors echo as there is no carpeting

Rooms: Size of the room is bigger than usual, clean without carpet

Bathroom: Small with regular toiletries. Only Shower.

Sleep: Just about Ok

Food: Average options during breakfast, service during breakfast was good.

Service: Average check-in and check out experience. Housekeeping was fast

Location: Centrally located for business travel to Hi-Tech city"
Found ever Hyderabad,5,2024-02,10-02-2024,"We are 120 people in banquets had a good time here and enjoyed a lot with all facilities are really good and thanks for helping bus through out the event the names are Firoj sayied ,Sagarrr,Indra,Anji,Manager Alok,Naaaa and other staff also too much attention paid to us"
Energetic Banquet team in whole Hyderabad,5,2024-02,10-02-2024,"Icon group our party members had a gooood timeeeee here in lemon treeeee hitechhhh city and Thanks to Firoz sayeeeed,Indra executive and sagar supervisor and manager alok and Anji,Naga great SHI persons always with smiling faces and great energy"
Icon event thanks to everyone,5,2024-02,10-02-2024,"We are icon banquets team had a 5p members lunch and tea coffee had a good time  here and Especially Thank you so much To Management Trainee FirozJ Sayeed and Indra,sagar,Anjineylu,Naga and his manager Alok too for helping us smoothly run the event"
Fabulous experience,5,2024-02,10-02-2024,"Anil is very courtoues and friendly,I like the overall experience,5 star😍.Hemanth is the person who took care of experience we had and we are really thankful for the overall experince and I am looking forward to visit again.
Cheers Lemon tree💯"
"Love it !!!! Awesome hospitality, Anil has been great help really good experience ❤️ His manager has been great help too",5,2024-02,10-02-2024,"Good food Awesome hospitality, Anil has been great help really good experience ❤️ His manager has been great help too ... Thank you Hemanth ....!!!!!!! Coffee was really good and good food ¡!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!! Will visit again for sure ¡!!!!!!!!!!!"
STIC Soft 7th anniversary,5,2024-02,09-02-2024,"We have a Business event here, good ambience hall and food was delicious, Mr. Feroz Syed, Sagar and Indra who are instrumental in arranging the things in right way, we had lot fun evening, 
Overall wonderful experience and enjoyed a lot, Thank you"
Wonderful!wonderful! wonderful!Banquets Team,5,2024-02,09-02-2024,"We had a banquet event of stic company and had wonderfurl time here thanks to Firozz sayeed,Sagar,Indra,Anji and Manager Alok Kumar for helping us smooth operation towards our whole event and thanks to Chef hashmi For making wonderful Foodddddd.evrrything is wonderful wonderful"
Somewhat satisfied,3,2024-01,09-02-2024,"The staff here is very good , I have got a lot of help from Sai Kiran ,Sazzad, Dashral, Simran, Sarita, Hemant and  Rupesh . Service wise the hotel is nice . But the food is not so good . Also the infrastructure of hotel is very old it seems . 
Lifts don't to the nor the stairs . Every time you park your vehicle you have to come up by climbing in a 30 degree ram ,while going down also you need to do the same . 
House keeping staff again is very nice but again the rooms are comparatively smaller in size then the other hotel in the same range . 
Also every time you want extras like shaving kit or slippers you have ask for it . 
They don't keep it in ."
Average Experience,3,2024-02,09-02-2024,"Pros : 
-	Close location to companies in HiTec City
-	Good connectivity by Metro and skywalks
-	Good variety in Breakfast and dinner options . Ala Carte also very well made 
-	Rooms were clean and had all necessary requirements
-	Bathrooms, AC and worktable very clean and good to use

Cons: 
-	TV did not work, had just one channel
-	Difficult to get hold of the hotel reception. As my flight was moved to next day, I called multiple numbers provided to talk to someone for late checkout info. I was transferred 2-3 times and finally told to send an email. I sent an email, and the reply was “noted” with no solution or answers
-	I booked through MakeMyTrip for 2 days, due to flight moved up, I asked for a day’s extension in same room, offering to pay right there during check-in. I was told I need to book a separate day through MMT. I found that very impractical and illogical. I was right there; they could have taken a separate transaction and took payment for both our ease. I had to login and book a separate day paying certain amount more to third party
-	3 days during breakfast I was disturbed while having food to take a survey, almost at point of badgering. I kept telling them I will take it later, they insisted to take it after I finish food. One of them also ran behind me to mention I need to take it right then as he must take a photo of the survey result. I took it under duress. Surveys need to be genuine and not under pressure or scrutiny 
-	Out of curiosity I didn’t go to my usual Hotels with membership and went here to start a membership, did not meet my expectations"
Wonderful stay,5,2024-02,08-02-2024,"Room is cleaned always. Staff is very nice and helpful. Cleanliness is upto the mark. Rooms are spacious. I would like to appreciate gopi , chotu, dinesh from housekeeping for theirs hard work and helping nature. They are very polite and take care of customers. T q housekeeping"
Wonderfull stay I. lemon tree Premier hi-tech city,5,2024-02,08-02-2024,"Excellent stay here , I stay almost 10days here , house keeping staff is very nice and helpful. Mainly Gopi and Chotu both are very nice person, they have taken care very well
 Food is here also very good , ambience, staff behaviour is also very nice."
Too good to be relished,5,2024-02,08-02-2024,"Sajjad,Sai Kiran ...they were exceptional at their service at citrus cafe... Rest all staff were also superb. Nice time enjoyed here a lot. Buffet spread was really awesome everyday.room cleaning was also nice and punctual. Live counter chefs also good with their skills like they served delicious dosas and eggs."
Citrus Cafe,5,2024-02,08-02-2024,"The room was clean and properly maintained and regular clean ups and there buffet was good and I feel it was very economical all to gather … Mr.Arvind , Mr.Shanto and Hemanth and Sarikka and Sai walker sajat and Simi was so cordially in serving the breakfast to the team"
Delightful experience,5,2024-02,08-02-2024,"Very good experience. Worth staying during business trips. Well attended by Simran in Cageteria, Hemant, Sai, Sarita etc ensured good service. Keep the good we work going. 
Republic of noodles offers variety of noodles which is worth trying."
Excellent stay at Lemon tree Hi tech city🙂❤️,5,2024-02,08-02-2024,"Mr Dashrath, Sajjad Dileep Santosh Simran Saikiran Pritam Kundan Mahesh
It was a Great stay I was here for 5days , the service staff was excellent they did their jobs obviously good where they served my food on time and the room view was spectacular and the morning breakfast buffet spread was so delciuos and healthy"
Great Hotel and Friendly Staff,5,2024-02,08-02-2024,"@saikiran@hemanth@dasarath@sajjad@Dilip@Saritha food staff services are good and friendly. they help make our stay enjoyable. Wide range of food types and live food counter.rooms were clean and comfortable.I highly recommend this Lemon tree hotel,hi-tech city,hyderabad."
Ron,5,2024-02,08-02-2024,"Very nice hotel and excellent food. Very nice food: wok flashed Thai garlic pepper prawsa salad sam tum and tom you soup and prawns dimsum also very nice and republic of noodles and Aravid good service, very kind,,,,,,,,,,,,,,,,,,,,,,,,,,"
Awesome stay,4,2024-02,08-02-2024,"The overall service and food was good. We stayed for 14 days and enjoyed all the buffets. The staff behaviour is very good and welcoming special mention to Sai Kiran, sajjad,Dilip, Rupesh, Hemant, Dashrath, Simran, Sarita, Santosh, Lulu all were helpful very attentive at service."
RON: Excellent place,5,2024-02,07-02-2024,Aravind was our server and helped us to pick one of the best meals I’ve had in India so far. What a special treat to be here and have great service. Dibya Jothi is the manager and runs a great restaurant. Come and see for yourself. Republic of Noodles has a new fan!
